,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
1181,1467,RIC,RIV,2.0,4.0,5.0,0.0,0.0,3,11.0,5.5,3,0,cel_specific,11.0,RIC (pp) RIV,>3-10
1187,1475,RIC,SMB,2.0,5.0,9.0,0.0,0.0,3,16.0,16.0,3,0,cel_specific,16.0,RIC (pp) SMB,>10
1188,1476,RIC,SMD,18.0,23.0,47.0,26.0,1.0,5,115.0,115.0,3,2,core,115.0,RIC (pp) SMD,>10
1201,1491,RIF,ASH,3.0,1.0,6.0,0.0,0.0,3,10.0,5.0,3,0,cel_specific,10.0,RIF (pp) ASH,>3-10
1203,1493,RIF,AVB,30.0,31.0,71.0,39.0,9.0,5,180.0,90.0,3,2,core,180.0,RIF (pp) AVB,>10
1206,1497,RIF,AVH,3.0,7.0,1.0,0.0,0.0,3,11.0,3.6666666666666665,3,0,cel_specific,11.0,RIF (pp) AVH,>3-10
1207,1498,RIF,AVJ,5.0,5.0,11.0,6.0,2.0,5,29.0,14.5,3,2,core,29.0,RIF (pp) AVJ,>10
1213,1506,RIF,PVP,3.0,9.0,15.0,0.0,0.0,3,27.0,27.0,3,0,cel_specific,27.0,RIF (pp) PVP,>10
1221,1514,RIF,URY,0.0,0.0,0.0,1.0,4.0,2,5.0,5.0,0,2,pristi_specific,5.0,RIF (pp) URY,>3-10
1226,1519,RIG,AIB,6.0,8.0,6.0,23.0,17.0,5,60.0,20.0,3,2,core,60.0,RIG (pp) AIB,>10
1227,1520,RIG,AIZ,23.0,19.0,16.0,2.0,5.0,5,65.0,32.5,3,2,core,65.0,RIG (pp) AIZ,>10
1228,1521,RIG,ALN,3.0,1.0,9.0,0.0,0.0,3,13.0,13.0,3,0,cel_specific,13.0,RIG (pp) ALN,>10
1233,1527,RIG,AVE,23.0,19.0,12.0,0.0,0.0,3,54.0,18.0,3,0,cel_specific,54.0,RIG (pp) AVE,>10
1235,1529,RIG,BAG,18.0,20.0,5.0,8.0,4.0,5,55.0,27.5,3,2,core,55.0,RIG (pp) BAG,>10
1238,1532,RIG,IL1,0.0,0.0,0.0,9.0,10.0,2,19.0,6.333333333333333,0,2,pristi_specific,19.0,RIG (pp) IL1,>3-10
1239,1533,RIG,OLQ,6.0,3.0,4.0,10.0,2.0,5,25.0,25.0,3,2,core,25.0,RIG (pp) OLQ,>10
1244,1539,RIG,RIB,4.0,10.0,5.0,0.0,0.0,3,19.0,9.5,3,0,cel_specific,19.0,RIG (pp) RIB,>3-10
1247,1542,RIG,RIR,2.0,3.0,13.0,0.0,0.0,3,18.0,18.0,3,0,cel_specific,18.0,RIG (pp) RIR,>10
1249,1544,RIG,RMD,0.0,0.0,0.0,12.0,7.0,2,19.0,19.0,0,2,pristi_specific,19.0,RIG (pp) RMD,>10
1250,1546,RIG,RMG,4.0,1.0,6.0,0.0,0.0,3,11.0,5.5,3,0,cel_specific,11.0,RIG (pp) RMG,>3-10
1253,1550,RIG,SMD,0.0,0.0,0.0,7.0,10.0,2,17.0,8.5,0,2,pristi_specific,17.0,RIG (pp) SMD,>3-10
1259,1556,RIH,AIY,2.0,1.0,9.0,6.0,3.0,5,21.0,21.0,3,2,core,21.0,RIH (pp) AIY,>10
1261,1558,RIH,AUA,2.0,2.0,2.0,0.0,0.0,3,6.0,3.0,3,0,cel_specific,6.0,RIH (pp) AUA,1-3
1266,1563,RIH,IL2,4.0,3.0,14.0,0.0,0.0,3,21.0,10.5,3,0,cel_specific,21.0,RIH (pp) IL2,>10
1267,1564,RIH,OLQ,27.0,20.0,37.0,23.0,6.0,5,113.0,113.0,3,2,core,113.0,RIH (pp) OLQ,>10
1268,1565,RIH,RIA,21.0,15.0,73.0,35.0,9.0,5,153.0,76.5,3,2,core,153.0,RIH (pp) RIA,>10
1269,1566,RIH,RIB,8.0,13.0,33.0,27.0,6.0,5,87.0,87.0,3,2,core,87.0,RIH (pp) RIB,>10
1271,1568,RIH,RIP,8.0,16.0,25.0,2.0,13.0,5,64.0,64.0,3,2,core,64.0,RIH (pp) RIP,>10
1274,1571,RIH,RME,3.0,1.0,16.0,0.0,0.0,3,20.0,5.0,3,0,cel_specific,20.0,RIH (pp) RME,>3-10
1276,1573,RIH,URY,2.0,2.0,4.0,18.0,8.0,5,34.0,11.333333333333334,3,2,core,34.0,RIH (pp) URY,>10
1277,1574,RIM,ADA,2.0,1.0,15.0,22.0,4.0,5,44.0,11.0,3,2,core,44.0,RIM (pp) ADA,>10
1278,1575,RIM,AIB,20.0,17.0,40.0,2.0,6.0,5,85.0,85.0,3,2,core,85.0,RIM (pp) AIB,>10
1281,1578,RIM,AVA,3.0,3.0,16.0,0.0,0.0,3,22.0,5.5,3,0,cel_specific,22.0,RIM (pp) AVA,>3-10
1282,1579,RIM,AVB,12.0,15.0,67.0,38.0,5.0,5,137.0,34.25,3,2,core,137.0,RIM (pp) AVB,>10
1283,1580,RIM,AVE,3.0,1.0,7.0,0.0,0.0,3,11.0,2.75,3,0,cel_specific,11.0,RIM (pp) AVE,1-3
1299,1597,RIM,SAA,26.0,32.0,44.0,0.0,0.0,3,102.0,102.0,3,0,cel_specific,102.0,RIM (pp) SAA,>10
1302,1600,RIM,SMD,35.0,39.0,64.0,65.0,9.0,5,212.0,42.4,3,2,core,212.0,RIM (pp) SMD,>10
1303,1602,RIP,ADF,0.0,0.0,0.0,12.0,6.0,2,18.0,9.0,0,2,pristi_specific,18.0,RIP (pp) ADF,>3-10
1304,1603,RIP,AIZ,0.0,0.0,0.0,16.0,11.0,2,27.0,5.4,0,2,pristi_specific,27.0,RIP (pp) AIZ,>3-10
1310,1609,RIP,RIA,0.0,0.0,0.0,31.0,14.0,2,45.0,15.0,0,2,pristi_specific,45.0,RIP (pp) RIA,>10
1314,1613,RIP,RIR,0.0,0.0,0.0,3.0,5.0,2,8.0,8.0,0,2,pristi_specific,8.0,RIP (pp) RIR,>3-10
1315,1614,RIP,RIV,0.0,0.0,0.0,3.0,3.0,2,6.0,2.0,0,2,pristi_specific,6.0,RIP (pp) RIV,1-3
1323,1622,RIR,ADF,4.0,3.0,5.0,0.0,0.0,3,12.0,12.0,3,0,cel_specific,12.0,RIR (pp) ADF,>10
1330,1630,RIR,AUA,2.0,2.0,7.0,0.0,0.0,3,11.0,11.0,3,0,cel_specific,11.0,RIR (pp) AUA,>10
1331,1631,RIR,AVB,0.0,0.0,0.0,2.0,2.0,2,4.0,2.0,0,2,pristi_specific,4.0,RIR (pp) AVB,1-3
1332,1632,RIR,AVE,2.0,2.0,4.0,0.0,0.0,3,8.0,4.0,3,0,cel_specific,8.0,RIR (pp) AVE,>3-10
1336,1636,RIR,DVA,2.0,5.0,9.0,0.0,0.0,3,16.0,16.0,3,0,cel_specific,16.0,RIR (pp) DVA,>10
1339,1640,RIR,RIA,19.0,16.0,15.0,37.0,11.0,5,98.0,49.0,3,2,core,98.0,RIR (pp) RIA,>10
1340,1641,RIR,RIG,2.0,3.0,6.0,0.0,0.0,3,11.0,5.5,3,0,cel_specific,11.0,RIR (pp) RIG,>3-10
1347,1648,RIS,AVE,16.0,17.0,35.0,10.0,3.0,5,81.0,81.0,3,2,core,81.0,RIS (pp) AVE,>10
1350,1651,RIS,CEP,11.0,9.0,16.0,7.0,3.0,5,46.0,46.0,3,2,core,46.0,RIS (pp) CEP,>10
1354,1655,RIS,RIB,12.0,22.0,25.0,107.0,48.0,5,214.0,107.0,3,2,core,214.0,RIS (pp) RIB,>10
1358,1659,RIS,RMD,8.0,3.0,28.0,34.0,21.0,5,94.0,47.0,3,2,core,94.0,RIS (pp) RMD,>10
1360,1663,RIS,SMD,7.0,5.0,9.0,44.0,36.0,5,101.0,101.0,3,2,core,101.0,RIS (pp) SMD,>10
1361,1664,RIS,URY,3.0,6.0,6.0,38.0,21.0,5,74.0,37.0,3,2,core,74.0,RIS (pp) URY,>10
1369,1672,RIV,RMD,9.0,17.0,17.0,32.0,4.0,5,79.0,79.0,3,2,core,79.0,RIV (pp) RMD,>10
1371,1676,RIV,SAA,6.0,6.0,32.0,56.0,6.0,5,106.0,106.0,3,2,core,106.0,RIV (pp) SAA,>10
1372,1678,RIV,SIA,12.0,16.0,10.0,0.0,0.0,3,38.0,19.0,3,0,cel_specific,38.0,RIV (pp) SIA,>10
1374,1680,RIV,SMD,4.0,6.0,20.0,11.0,10.0,5,51.0,12.75,3,2,core,51.0,RIV (pp) SMD,>10
1381,1687,RMD,IL1,9.0,5.0,19.0,64.0,25.0,5,122.0,40.666666666666664,3,2,core,122.0,RMD (pp) IL1,>10
1385,1692,RMD,RIA,36.0,44.0,79.0,29.0,13.0,5,201.0,201.0,3,2,core,201.0,RMD (pp) RIA,>10
1388,1695,RMD,RIM,2.0,1.0,4.0,0.0,0.0,3,7.0,7.0,3,0,cel_specific,7.0,RMD (pp) RIM,>3-10
1391,1698,RMD,RMD,77.0,77.0,189.0,105.0,52.0,5,500.0,166.66666666666666,3,2,core,500.0,RMD (pp) RMD,>10
1396,1705,RMD,SMB,6.0,5.0,3.0,26.0,6.0,5,46.0,46.0,3,2,core,46.0,RMD (pp) SMB,>10
1402,1711,RME,AVE,0.0,0.0,0.0,11.0,3.0,2,14.0,14.0,0,2,pristi_specific,14.0,RME (pp) AVE,>10
1409,1718,RME,RMD,2.0,2.0,2.0,35.0,3.0,5,44.0,22.0,3,2,core,44.0,RME (pp) RMD,>10
1416,1750,RMG,AIM,1.0,3.0,6.0,0.0,0.0,3,10.0,2.0,3,0,cel_specific,10.0,RMG (pp) AIM,1-3
1417,1751,RMG,ALM,1.0,1.0,1.0,0.0,0.0,3,3.0,0.6,3,0,cel_specific,3.0,RMG (pp) ALM,1-3
1419,1753,RMG,ASH,2.0,1.0,2.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific,5.0,RMG (pp) ASH,>3-10
1420,1754,RMG,AVA,1.0,1.0,3.0,0.0,0.0,3,5.0,1.25,3,0,cel_specific,5.0,RMG (pp) AVA,1-3
1421,1755,RMG,AVB,5.0,3.0,8.0,0.0,0.0,3,16.0,16.0,3,0,cel_specific,16.0,RMG (pp) AVB,>10
1423,1757,RMG,AVE,3.0,4.0,8.0,0.0,0.0,3,15.0,15.0,3,0,cel_specific,15.0,RMG (pp) AVE,>10
1435,1773,RMG,RMD,30.0,24.0,85.0,58.0,22.0,5,219.0,219.0,3,2,core,219.0,RMG (pp) RMD,>10
1439,1780,RMG,SIB,4.0,8.0,10.0,0.0,0.0,3,22.0,22.0,3,0,cel_specific,22.0,RMG (pp) SIB,>10
1440,1781,RMG,SMB,3.0,2.0,3.0,0.0,0.0,3,8.0,8.0,3,0,cel_specific,8.0,RMG (pp) SMB,>3-10
1442,1783,RMG,URX,2.0,2.0,6.0,0.0,0.0,3,10.0,10.0,3,0,cel_specific,10.0,RMG (pp) URX,>3-10
1443,1803,SAA,ADA,0.0,0.0,0.0,2.0,4.0,2,6.0,6.0,0,2,pristi_specific,6.0,SAA (pp) ADA,>3-10
1444,1804,SAA,AIB,1.0,1.0,5.0,0.0,0.0,3,7.0,7.0,3,0,cel_specific,7.0,SAA (pp) AIB,>3-10
1447,1807,SAA,AVA,77.0,61.0,139.0,71.0,35.0,5,383.0,191.5,3,2,core,383.0,SAA (pp) AVA,>10
1452,1812,SAA,OLL,3.0,4.0,8.0,9.0,6.0,5,30.0,15.0,3,2,core,30.0,SAA (pp) OLL,>10
1454,1816,SAA,RIC,0.0,0.0,0.0,2.0,5.0,2,7.0,7.0,0,2,pristi_specific,7.0,SAA (pp) RIC,>3-10
1456,1818,SAA,RIM,76.0,71.0,121.0,26.0,7.0,5,301.0,301.0,3,2,core,301.0,SAA (pp) RIM,>10
1465,1829,SAA,SMD,20.0,21.0,41.0,19.0,10.0,5,111.0,37.0,3,2,core,111.0,SAA (pp) SMD,>10
1486,1884,SMB,ALN,4.0,5.0,6.0,0.0,0.0,3,15.0,7.5,3,0,cel_specific,15.0,SMB (pp) ALN,>3-10
1498,1898,SMB,RME,19.0,18.0,58.0,0.0,0.0,3,95.0,95.0,3,0,cel_specific,95.0,SMB (pp) RME,>10
1500,1901,SMB,SAA,26.0,31.0,47.0,18.0,1.0,5,123.0,41.0,3,2,core,123.0,SMB (pp) SAA,>10
1512,1913,SMD,CEP,6.0,2.0,2.0,54.0,21.0,5,85.0,28.333333333333332,3,2,core,85.0,SMD (pp) CEP,>10
1513,1914,SMD,IL1,0.0,0.0,0.0,18.0,6.0,2,24.0,4.8,0,2,pristi_specific,24.0,SMD (pp) IL1,>3-10
1517,1919,SMD,RIA,55.0,59.0,121.0,83.0,53.0,5,371.0,185.5,3,2,core,371.0,SMD (pp) RIA,>10
1519,1921,SMD,RIC,0.0,0.0,0.0,2.0,2.0,2,4.0,4.0,0,2,pristi_specific,4.0,SMD (pp) RIC,>3-10
1521,1923,SMD,RIS,1.0,2.0,5.0,8.0,2.0,5,18.0,6.0,3,2,core,18.0,SMD (pp) RIS,>3-10
1523,1925,SMD,RMD,3.0,5.0,11.0,57.0,26.0,5,102.0,34.0,3,2,core,102.0,SMD (pp) RMD,>10
1529,1932,SMD,SMD,28.0,28.0,65.0,50.0,15.0,5,186.0,37.2,3,2,core,186.0,SMD (pp) SMD,>10
1536,1940,URA,IL1,8.0,15.0,27.0,69.0,61.0,5,180.0,36.0,3,2,core,180.0,URA (pp) IL1,>10
1542,1946,URA,RIP,16.0,14.0,56.0,4.0,3.0,5,93.0,93.0,3,2,core,93.0,URA (pp) RIP,>10
1544,1948,URA,RME,19.0,20.0,37.0,34.0,29.0,5,139.0,46.333333333333336,3,2,core,139.0,URA (pp) RME,>10
1547,1951,URB,ADA,7.0,8.0,8.0,0.0,0.0,3,23.0,23.0,3,0,cel_specific,23.0,URB (pp) ADA,>10
1548,1952,URB,ADE,1.0,1.0,1.0,0.0,0.0,3,3.0,1.5,3,0,cel_specific,3.0,URB (pp) ADE,1-3
1550,1954,URB,AVB,6.0,3.0,2.0,0.0,0.0,3,11.0,5.5,3,0,cel_specific,11.0,URB (pp) AVB,>3-10
1551,1955,URB,AVD,2.0,1.0,1.0,0.0,0.0,3,4.0,2.0,3,0,cel_specific,4.0,URB (pp) AVD,1-3
1554,1958,URB,CEP,8.0,6.0,7.0,0.0,0.0,3,21.0,21.0,3,0,cel_specific,21.0,URB (pp) CEP,>10
1555,1959,URB,IL1,2.0,4.0,17.0,64.0,51.0,5,138.0,138.0,3,2,core,138.0,URB (pp) IL1,>10
1560,1964,URB,RIC,18.0,8.0,5.0,0.0,0.0,3,31.0,31.0,3,0,cel_specific,31.0,URB (pp) RIC,>10
1562,1966,URB,RMD,1.0,4.0,4.0,4.0,2.0,5,15.0,3.0,3,2,core,15.0,URB (pp) RMD,1-3
1563,1967,URB,RME,0.0,0.0,0.0,23.0,11.0,2,34.0,34.0,0,2,pristi_specific,34.0,URB (pp) RME,>10
1564,1968,URB,RMG,1.0,1.0,8.0,0.0,0.0,3,10.0,2.5,3,0,cel_specific,10.0,URB (pp) RMG,1-3
1565,1971,URB,SIA,1.0,3.0,10.0,0.0,0.0,3,14.0,14.0,3,0,cel_specific,14.0,URB (pp) SIA,>10
1567,1973,URB,SMB,2.0,2.0,8.0,0.0,0.0,3,12.0,2.4,3,0,cel_specific,12.0,URB (pp) SMB,1-3
1570,1976,URB,URX,19.0,17.0,42.0,0.0,0.0,3,78.0,19.5,3,0,cel_specific,78.0,URB (pp) URX,>10
1586,1993,URX,AVE,10.0,7.0,11.0,0.0,0.0,3,28.0,28.0,3,0,cel_specific,28.0,URX (pp) AVE,>10
1595,2004,URX,IL2,4.0,4.0,1.0,0.0,0.0,3,9.0,3.0,3,0,cel_specific,9.0,URX (pp) IL2,1-3
1598,2008,URX,RIA,50.0,50.0,35.0,24.0,7.0,5,166.0,166.0,3,2,core,166.0,URX (pp) RIA,>10
1600,2010,URX,RIC,11.0,10.0,11.0,0.0,0.0,3,32.0,6.4,3,0,cel_specific,32.0,URX (pp) RIC,>3-10
1603,2013,URX,RIG,12.0,19.0,13.0,14.0,5.0,5,63.0,31.5,3,2,core,63.0,URX (pp) RIG,>10
1605,2015,URX,RIR,9.0,14.0,5.0,5.0,5.0,5,38.0,38.0,3,2,core,38.0,URX (pp) RIR,>10
1607,2018,URX,RMG,6.0,3.0,11.0,0.0,0.0,3,20.0,20.0,3,0,cel_specific,20.0,URX (pp) RMG,>10
1621,2033,URY,AVD,2.0,5.0,2.0,31.0,13.0,5,53.0,53.0,3,2,core,53.0,URY (pp) AVD,>10
